"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Mean Sale Price (Euro)",48940,23590,25214,32091,45944,55142,39684,53418,65764
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",99,126,111,106,77,93,84,101,110
" "," "," "," "," ","Value of Sales (Euro Million)",5.3,5.7,1.6,1.2,1.4,2.1,2.1,3.1,3.5
" "," "," "," "," ","Mean Sale Price (Euro)",53202,44850,14081,11027,18094,22296,24835,31057,32114
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,30,0,0
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",106,132,116,120,95,109,112,138,166
" "," "," "," "," ","Value of Sales (Euro Million)",2.9,4.3,2.9,2.8,2.5,3.1,2.7,4.0,5.4
" "," "," "," "," ","Mean Sale Price (Euro)",27780,32455,24891,22993,26269,28111,24346,29325,32476
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,1
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",136,116,141,107,114,154,174,132,136
" "," "," "," "," ","Value of Sales (Euro Million)",3.2,2.9,1.7,1.9,1.9,3.9,2.9,2.0,2.9
" "," "," "," "," ","Mean Sale Price (Euro)",23811,25189,12033,17382,17053,25201,16906,15085,20966
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,1,15000,0,0,0
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",123,149,150,135,118,131,165,133,159
" "," "," "," "," ","Value of Sales (Euro Million)",3.5,2.3,3.3,2.6,2.0,3.6,3.2,2.6,7.5
" "," "," "," "," ","Mean Sale Price (Euro)",28341,15133,21811,18903,16946,27145,19347,19818,47394
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,25,0,0
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",287,303,333,212,267,289,294,318,374
" "," "," "," "," ","Value of Sales (Euro Million)",11.5,11.0,7.8,4.6,5.8,8.1,6.6,9.7,13.2
" "," "," "," "," ","Mean Sale Price (Euro)",40056,36337,23458,21683,21644,28196,22445,30461,35206
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",209,235,228,196,176,186,200,241,239
" "," "," "," "," ","Value of Sales (Euro Million)",11.4,8.6,5.7,4.5,4.3,5.9,5.7,7.3,10.8
" "," "," "," "," ","Mean Sale Price (Euro)",54601,36679,24974,23092,24499,31873,28714,30129,45146
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,2,0,0,1,0
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",146,156,191,117,130,179,166,178,152
" "," "," "," "," ","Value of Sales (Euro Million)",4.7,3.3,4.9,2.6,3.7,3.8,5.1,6.2,4.7
" "," "," "," "," ","Mean Sale Price (Euro)",32259,20851,25594,22145,28504,21469,30739,34578,30772
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",237,276,278,220,225,267,223,273,273
" "," "," "," "," ","Value of Sales (Euro Million)",9.0,5.6,7.2,5.4,7.2,4.8,5.6,9.3,9.6
" "," "," "," "," ","Mean Sale Price (Euro)",37925,20401,26019,24462,31857,18012,25226,34115,35334
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",187,341,290,222,228,206,177,278,241
" "," "," "," "," ","Value of Sales (Euro Million)",11.4,10.2,8.3,10.0,12.7,10.6,7.8,19.1,14.7
" "," "," "," "," ","Mean Sale Price (Euro)",61056,29984,28784,45062,55840,51615,43984,68579,60881
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," ","Executions"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",8251,8227,9205,7892,8067,8138,8422,8881,9369
" "," "," "," "," ","Value of Sales (Euro Million)",393.9,317.8,351.1,341.5,479.2,439.8,518.0,615.1,608.3
" "," "," "," "," ","Mean Sale Price (Euro)",47740,38624,38144,43276,59399,54046,61511,69257,64926
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,1,0,0,0,0
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",93,83,87,129,95,104,91,109,108
" "," "," "," "," ","Value of Sales (Euro Million)",3.3,1.6,1.2,3.8,1.8,1.8,2.3,2.6,3.1
" "," "," "," "," ","Mean Sale Price (Euro)",35808,19402,13643,29383,18916,17043,25061,23810,28272
" "," "," "," "," ","Median Price (Euro)",0,0,0,90,0,0,0,0,0
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",113,114,146,176,247,144,163,177,122
" "," "," "," "," ","Value of Sales (Euro Million)",4.5,2.6,2.5,3.4,5.6,3.3,4.7,5.9,4.0
" "," "," "," "," ","Mean Sale Price (Euro)",40113,22386,17337,19512,22541,22966,28937,33268,32601
" "," "," "," "," ","Median Price (Euro)",0,0,0,22050,20000,12000,10000,10000,0
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",267,221,229,218,209,284,242,220,233
" "," "," "," "," ","Value of Sales (Euro Million)",9.0,5.3,4.5,5.8,5.2,8.1,7.2,6.3,11.1
" "," "," "," "," ","Mean Sale Price (Euro)",33615,23910,19451,26776,24652,28601,29777,28573,47694
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",1074,1047,1126,955,968,871,1038,1112,1021
" "," "," "," "," ","Value of Sales (Euro Million)",40.3,32.0,46.3,40.2,33.5,41.1,54.2,73.0,58.0
" "," "," "," "," ","Mean Sale Price (Euro)",37490,30536,41085,42066,34618,47214,52176,65678,56774
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",390,306,417,290,362,287,295,351,374
" "," "," "," "," ","Value of Sales (Euro Million)",10.7,9.2,8.5,5.9,8.6,5.7,8.0,6.9,8.8
" "," "," "," "," ","Mean Sale Price (Euro)",27558,30072,20494,20328,23780,19989,26965,19795,23407
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",1930,2126,2301,2188,2227,2166,2291,2270,2485
" "," "," "," "," ","Value of Sales (Euro Million)",148.8,137.4,159.1,167.1,295.3,237.3,264.9,313.3,302.6
" "," "," "," "," ","Mean Sale Price (Euro)",77082,64649,69130,76393,132605,109538,115640,137999,121758
" "," "," "," "," ","Median Price (Euro)",0,0,13,9080,24688,142,2,1696,4
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",450,469,554,485,496,472,605,573,606
" "," "," "," "," ","Value of Sales (Euro Million)",18.9,19.2,16.3,19.7,24.3,19.9,39.1,45.1,36.5
" "," "," "," "," ","Mean Sale Price (Euro)",42103,40898,29381,40678,48916,42157,64657,78720,60255
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,1,7,0
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",398,390,425,357,316,339,350,377,427
" "," "," "," "," ","Value of Sales (Euro Million)",11.1,11.2,9.8,12.6,7.0,9.0,10.8,11.0,12.5
" "," "," "," "," ","Mean Sale Price (Euro)",27843,28781,23039,35262,22227,26451,30753,29284,29225
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",299,256,314,226,267,247,261,313,350
" "," "," "," "," ","Value of Sales (Euro Million)",14.1,7.0,10.3,8.4,12.5,19.4,30.3,22.4,29.0
" "," "," "," "," ","Mean Sale Price (Euro)",47042,27526,32839,37137,46812,78564,116209,71478,82722
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,1,0,1,45
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",145,166,180,129,114,124,146,140,144
" "," "," "," "," ","Value of Sales (Euro Million)",5.2,5.0,5.8,3.1,4.5,4.1,3.7,4.4,8.0
" "," "," "," "," ","Mean Sale Price (Euro)",35558,30123,32078,23740,39790,32743,25536,31350,55882
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",112,162,173,148,91,94,137,150,152
" "," "," "," "," ","Value of Sales (Euro Million)",4.8,7.3,4.5,2.2,1.9,2.0,2.8,5.0,6.8
" "," "," "," "," ","Mean Sale Price (Euro)",42634,44762,26082,14963,20743,21004,20329,33509,44462
" "," "," "," "," ","Median Price (Euro)",0,0,0,10,0,0,0,0,0
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",73,65,83,66,62,66,79,93,86
" "," "," "," "," ","Value of Sales (Euro Million)",1.4,1.2,1.1,1.3,1.3,1.8,1.8,1.2,2.3
" "," "," "," "," ","Mean Sale Price (Euro)",19578,17922,13166,20269,21553,27254,23167,12594,26445
" "," "," "," "," ","Median Price (Euro)",0,0,0,16916,455,15500,0,0,0
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",353,330,375,266,316,448,319,331,362
" "," "," "," "," ","Value of Sales (Euro Million)",14.2,8.2,15.1,8.1,9.2,12.5,11.8,13.1,14.4
" "," "," "," "," ","Mean Sale Price (Euro)",40089,24731,40214,30567,29186,27912,37121,39469,39871
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,8513,0,0,0
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",71,79,96,116,94,90,57,90,105
" "," "," "," "," ","Value of Sales (Euro Million)",2.1,1.1,2.5,2.3,2.2,1.5,1.0,1.6,2.0
" "," "," "," "," ","Mean Sale Price (Euro)",29901,13852,25662,19784,23561,17152,17317,18265,18576
" "," "," "," "," ","Median Price (Euro)",0,0,0,13246,18603,6847,0,0,0
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",225,190,292,245,232,268,210,250,257
" "," "," "," "," ","Value of Sales (Euro Million)",8.9,4.3,7.0,6.8,7.8,8.1,7.4,9.6,8.9
" "," "," "," "," ","Mean Sale Price (Euro)",39449,22747,24109,27574,33544,30171,35088,38543,34449
" "," "," "," "," ","Median Price (Euro)",0,0,10,10,11,57,1,11,0
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",272,286,329,274,272,247,235,258,305
" "," "," "," "," ","Value of Sales (Euro Million)",6.4,9.1,6.3,6.3,4.5,4.3,5.9,6.1,6.8
" "," "," "," "," ","Mean Sale Price (Euro)",23379,31766,19203,22811,16365,17318,25208,23660,22227
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",243,237,254,192,217,250,253,282,307
" "," "," "," "," ","Value of Sales (Euro Million)",11.6,6.8,6.6,6.7,10.3,14.7,17.0,17.5,18.8
" "," "," "," "," ","Mean Sale Price (Euro)",47848,28577,25814,35106,47341,58691,67359,62186,61207
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",119,111,111,91,81,77,84,105,124
" "," "," "," "," ","Value of Sales (Euro Million)",8.6,4.6,1.7,0.9,1.5,1.6,2.1,3.7,3.5
" "," "," "," "," ","Mean Sale Price (Euro)",71889,41846,15225,10057,18525,20977,24529,35155,28138
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,19,0,0
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",135,108,138,98,100,106,118,135,170
" "," "," "," "," ","Value of Sales (Euro Million)",4.6,3.7,3.0,2.3,3.0,2.6,2.5,4.6,5.4
" "," "," "," "," ","Mean Sale Price (Euro)",34342,34043,21821,23613,29806,24274,21562,34394,31839
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",139,115,141,118,138,192,181,136,144
" "," "," "," "," ","Value of Sales (Euro Million)",3.2,2.7,1.8,2.2,2.3,4.1,3.1,2.4,2.9
" "," "," "," "," ","Mean Sale Price (Euro)",23238,23211,12626,18317,16437,21526,17108,17650,19907
" "," "," "," "," ","Median Price (Euro)",0,0,0,10000,11350,9327,0,0,0
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",133,149,151,135,122,139,190,136,169
" "," "," "," "," ","Value of Sales (Euro Million)",3.5,2.7,3.4,2.6,2.2,3.8,3.7,3.1,7.0
" "," "," "," "," ","Mean Sale Price (Euro)",26142,18008,22401,19462,17937,27624,19227,22663,41381
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,600,0,0
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",322,270,311,217,279,280,291,340,375
" "," "," "," "," ","Value of Sales (Euro Million)",14.8,9.1,7.0,4.6,6.7,7.6,6.7,10.5,13.2
" "," "," "," "," ","Mean Sale Price (Euro)",46095,33595,22446,21081,24052,27222,23057,30883,35248
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",246,204,223,196,180,183,195,233,256
" "," "," "," "," ","Value of Sales (Euro Million)",13.6,7.7,5.3,5.1,4.8,5.3,5.8,6.9,13.3
" "," "," "," "," ","Mean Sale Price (Euro)",55332,37529,23658,26198,26817,29202,29670,29722,52014
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,1,0,0,1,0
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",147,171,185,120,135,183,163,178,165
" "," "," "," "," ","Value of Sales (Euro Million)",5.0,4.5,5.3,3.2,4.3,3.9,4.6,6.2,4.8
" "," "," "," "," ","Mean Sale Price (Euro)",33965,26492,28766,26703,31807,21210,27924,34952,28907
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",264,253,280,229,227,264,219,288,276
" "," "," "," "," ","Value of Sales (Euro Million)",10.4,4.9,7.5,5.9,6.2,5.0,5.4,11.2,9.2
" "," "," "," "," ","Mean Sale Price (Euro)",39530,19403,26758,25832,27198,18926,24596,38802,33332
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",238,319,284,228,220,213,209,234,246
" "," "," "," "," ","Value of Sales (Euro Million)",14.9,9.6,8.9,10.9,12.8,11.3,11.3,21.3,15.8
" "," "," "," "," ","Mean Sale Price (Euro)",62641,29939,31377,47856,58153,53095,54046,91174,64086
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," ","New"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",659,542,439,521,499,587,525,415,438
" "," "," "," "," ","Value of Sales (Euro Million)",59.1,41.5,26.3,20.1,29.9,38.7,54.5,41.9,56.5
" "," "," "," "," ","Mean Sale Price (Euro)",89667,76518,59896,38507,59822,65882,103877,100941,129088
" "," "," "," "," ","Median Price (Euro)",0,0,0,9080,25999,8513,22700,0,0
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",6,9,1,3,3,3,10,3,4
" "," "," "," "," ","Value of Sales (Euro Million)",0.3,0.1,0.1,0.0,0.0,0.5,0.2,0.0,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",53929,11111,53088,4,4,158900,23835,25,23
" "," "," "," "," ","Median Price (Euro)",14188,0,53088,0,0,0,17025,0,0
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",11,8,5,14,25,6,8,15,5
" "," "," "," "," ","Value of Sales (Euro Million)",0.9,0.5,0.3,0.3,0.8,0.5,0.4,0.3,0.2
" "," "," "," "," ","Mean Sale Price (Euro)",82425,64556,64468,20479,33188,83324,49875,17948,37999
" "," "," "," "," ","Median Price (Euro)",0,68100,39725,24970,24970,93360,42500,11747,0
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",20,9,0,39,7,7,15,5,6
" "," "," "," "," ","Value of Sales (Euro Million)",1.6,0.2,0.0,2.3,0.2,1.3,0.8,0.0,1.2
" "," "," "," "," ","Mean Sale Price (Euro)",81235,22700,..,57769,26054,186444,52534,3216,207138
" "," "," "," "," ","Median Price (Euro)",0,0,..,1,0,0,0,0,229838
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",64,76,38,47,52,49,89,42,43
" "," "," "," "," ","Value of Sales (Euro Million)",6.9,2.7,2.8,3.5,3.0,4.2,9.2,3.6,3.9
" "," "," "," "," ","Mean Sale Price (Euro)",107970,35681,72872,73960,58155,85706,102889,84910,90618
" "," "," "," "," ","Median Price (Euro)",45400,0,1,18698,87900,70000,101015,0,0
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",17,15,21,19,16,10,12,15,13
" "," "," "," "," ","Value of Sales (Euro Million)",1.3,0.7,0.8,0.6,0.5,0.3,0.7,0.5,0.2
" "," "," "," "," ","Mean Sale Price (Euro)",77923,46050,38339,28964,30690,32874,57980,31117,16531
" "," "," "," "," ","Median Price (Euro)",13620,0,26105,22700,6909,24441,6810,0,0
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",165,170,93,185,97,171,80,88,146
" "," "," "," "," ","Value of Sales (Euro Million)",18.5,19.1,10.2,6.1,11.5,20.7,17.6,23.4,37.9
" "," "," "," "," ","Mean Sale Price (Euro)",111878,112494,109206,32966,118853,120850,220150,265409,259687
" "," "," "," "," ","Median Price (Euro)",0,1,6768,9080,139949,135205,108086,11,1
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",37,30,44,51,52,33,78,22,29
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,2.8,3.3,2.1,3.0,1.7,8.5,1.5,1.9
" "," "," "," "," ","Mean Sale Price (Euro)",47978,94321,75281,42013,58009,52093,109487,67713,65615
" "," "," "," "," ","Median Price (Euro)",0,0,80000,18501,27579,7500,139866,0,0
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",62,22,13,16,16,16,14,16,12
" "," "," "," "," ","Value of Sales (Euro Million)",2.5,0.6,1.1,0.9,0.8,0.4,0.9,0.9,0.5
" "," "," "," "," ","Mean Sale Price (Euro)",40707,25125,82965,58117,52248,21991,67289,56417,37633
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",18,6,32,7,56,25,22,25,17
" "," "," "," "," ","Value of Sales (Euro Million)",2.1,0.1,1.3,0.1,1.4,2.5,3.5,2.4,3.0
" "," "," "," "," ","Mean Sale Price (Euro)",114953,22956,42100,14598,25856,99260,160929,97103,178590
" "," "," "," "," ","Median Price (Euro)",28375,0,0,7,0,0,49089,51,82176
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",4,14,13,7,5,3,3,4,0
" "," "," "," "," ","Value of Sales (Euro Million)",0.0,1.4,2.0,0.2,0.1,0.1,0.2,0.0,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",0,99705,153462,24852,15890,35000,71316,0,..
" "," "," "," "," ","Median Price (Euro)",0,123148,200000,16321,0,0,85125,0,..
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",8,33,6,8,0,9,5,6,14
" "," "," "," "," ","Value of Sales (Euro Million)",0.8,3.6,0.0,0.2,0.0,0.2,0.0,0.4,0.3
" "," "," "," "," ","Mean Sale Price (Euro)",100731,109595,24,18842,..,18286,0,71842,24564
" "," "," "," "," ","Median Price (Euro)",70938,124500,0,26437,..,19863,0,59588,10538
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",6,5,5,2,1,17,3,12,3
" "," "," "," "," ","Value of Sales (Euro Million)",0.2,0.2,0.1,0.2,0.1,0.3,0.0,0.3,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",26956,34050,15429,116905,136200,18360,4540,27524,0
" "," "," "," "," ","Median Price (Euro)",0,0,0,116905,136200,22227,0,24970,0
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",15,8,19,6,12,33,36,13,17
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,0.3,0.2,0.1,0.2,0.6,0.5,0.5,1.1
" "," "," "," "," ","Mean Sale Price (Euro)",121526,32676,8065,16951,20674,19649,13273,38500,66446
" "," "," "," "," ","Median Price (Euro)",90800,0,0,4541,0,8513,4666,0,0
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",8,2,9,5,8,15,3,18,5
" "," "," "," "," ","Value of Sales (Euro Million)",0.4,0.0,0.5,0.1,0.1,0.4,0.0,0.6,0.1
" "," "," "," "," ","Mean Sale Price (Euro)",51618,11350,55790,27751,16504,26719,15512,34388,23052
" "," "," "," "," ","Median Price (Euro)",0,11350,85000,15890,20000,24000,22700,34050,17025
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",8,8,14,18,36,16,6,8,13
" "," "," "," "," ","Value of Sales (Euro Million)",0.4,0.6,1.2,0.9,2.7,0.6,0.6,0.4,0.5
" "," "," "," "," ","Mean Sale Price (Euro)",50150,80878,83528,49089,74196,36541,93291,46819,40070
" "," "," "," "," ","Median Price (Euro)",0,52531,66719,66719,69235,12838,11351,0,0
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",22,19,16,12,16,15,8,11,19
" "," "," "," "," ","Value of Sales (Euro Million)",1.4,1.7,0.3,0.2,0.5,0.1,0.0,0.1,0.8
" "," "," "," "," ","Mean Sale Price (Euro)",65099,91293,18071,14320,34279,9383,5155,6191,43338
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,24681,0,0,0,22700
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",12,22,17,5,18,17,41,32,15
" "," "," "," "," ","Value of Sales (Euro Million)",1.1,2.5,0.2,0.3,1.2,2.3,7.7,2.6,1.0
" "," "," "," "," ","Mean Sale Price (Euro)",87507,114289,9014,54375,66470,133595,188780,82448,66782
" "," "," "," "," ","Median Price (Euro)",35185,129250,0,51075,0,56750,242890,0,0
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",19,7,4,3,2,3,2,8,12
" "," "," "," "," ","Value of Sales (Euro Million)",3.5,0.3,0.0,0.0,0.0,0.0,0.1,0.1,0.6
" "," "," "," "," ","Mean Sale Price (Euro)",181789,40075,0,7567,0,14188,39413,9080,50109
" "," "," "," "," ","Median Price (Euro)",206651,0,0,0,0,0,39413,0,0
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",15,3,16,1,4,3,3,10,3
" "," "," "," "," ","Value of Sales (Euro Million)",1.5,0.3,0.2,0.2,0.0,0.0,0.0,0.7,0.1
" "," "," "," "," ","Mean Sale Price (Euro)",97014,109717,12059,170250,0,0,1,67077,31250
" "," "," "," "," ","Median Price (Euro)",125000,85125,0,170250,0,0,1,22700,0
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",13,12,10,16,22,40,12,12,10
" "," "," "," "," ","Value of Sales (Euro Million)",0.7,0.3,0.1,0.5,0.3,0.3,0.4,0.3,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",56504,22023,7832,31337,12841,7661,37116,28846,3670
" "," "," "," "," ","Median Price (Euro)",0,0,0,16538,11350,5878,22700,9932,0
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",4,9,11,4,13,22,21,8,5
" "," "," "," "," ","Value of Sales (Euro Million)",0.2,0.4,0.3,0.2,0.3,0.8,0.3,0.1,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",48805,40406,30051,57370,19448,37665,13116,11786,0
" "," "," "," "," ","Median Price (Euro)",1,1,0,27240,22700,0,17145,0,0
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",32,12,15,6,13,13,12,9,8
" "," "," "," "," ","Value of Sales (Euro Million)",3.0,0.9,0.0,0.0,0.6,0.2,0.2,0.3,0.3
" "," "," "," "," ","Mean Sale Price (Euro)",92935,74721,2648,3765,42514,15061,19555,33690,40081
" "," "," "," "," ","Median Price (Euro)",86711,28375,0,0,25765,17309,0,17998,0
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",21,11,4,6,2,7,6,7,9
" "," "," "," "," ","Value of Sales (Euro Million)",2.6,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.5
" "," "," "," "," ","Mean Sale Price (Euro)",122783,20909,0,4500,4540,2351,58712,0,56457
" "," "," "," "," ","Median Price (Euro)",142990,0,0,0,4540,0,0,0,0
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",13,17,13,9,5,7,8,6,7
" "," "," "," "," ","Value of Sales (Euro Million)",0.6,1.1,0.6,0.5,0.3,0.1,0.0,0.0,0.1
" "," "," "," "," ","Mean Sale Price (Euro)",47114,66964,45289,58642,68777,11600,3689,0,14593
" "," "," "," "," ","Median Price (Euro)",0,0,60000,0,94500,0,0,0,0
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",23,9,8,15,4,24,3,12,9
" "," "," "," "," ","Value of Sales (Euro Million)",2.0,0.1,0.3,0.2,0.2,0.1,0.0,0.7,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",87003,15133,34051,10740,43972,4569,0,56041,5517
" "," "," "," "," ","Median Price (Euro)",1,0,0,9596,57,0,0,0,0
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",36,6,12,17,14,23,25,8,14
" "," "," "," "," ","Value of Sales (Euro Million)",3.1,0.6,0.6,0.4,1.9,0.4,2.1,2.3,2.0
" "," "," "," "," ","Mean Sale Price (Euro)",85578,100584,50692,25539,133298,18999,84538,284359,146015
" "," "," "," "," ","Median Price (Euro)",0,1,0,11350,185000,0,0,215200,6810
" "," "," ","Existing"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",7592,7685,8766,7371,7568,7551,7897,8466,8931
" "," "," "," "," ","Value of Sales (Euro Million)",334.8,276.3,324.8,321.5,449.3,401.2,463.5,573.2,551.8
" "," "," "," "," ","Mean Sale Price (Euro)",44100,35951,37054,43613,59371,53126,58695,67704,61780
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",87,74,86,126,92,101,81,106,104
" "," "," "," "," ","Value of Sales (Euro Million)",3.0,1.5,1.1,3.8,1.8,1.3,2.0,2.6,3.1
