"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Mean Sale Price (Euro)",193170,202130,165750,96196,113814,139392,141269,160264,158150
" "," "," "," "," ","Median Price (Euro)",185750,176498,163979,68100,102709,124925,142357,146000,154113
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",137,99,66,72,87,99,137,156,204
" "," "," "," "," ","Value of Sales (Euro Million)",31.5,16.9,9.7,9.1,9.3,14.6,22.4,33.5,45.5
" "," "," "," "," ","Mean Sale Price (Euro)",229842,170990,146523,126318,106549,147836,163449,214959,222947
" "," "," "," "," ","Median Price (Euro)",222770,150002,165001,127750,87501,152200,171835,194999,212485
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",152,123,106,84,120,68,64,57,76
" "," "," "," "," ","Value of Sales (Euro Million)",25.5,16.5,11.9,10.3,14.3,7.3,9.1,10.2,14.8
" "," "," "," "," ","Mean Sale Price (Euro)",167766,133788,112348,122746,118790,107273,142846,179422,194472
" "," "," "," "," ","Median Price (Euro)",165000,133930,99000,124850,109241,85000,127763,182610,212499
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",246,127,120,102,152,269,190,209,180
" "," "," "," "," ","Value of Sales (Euro Million)",48.3,22.9,17.0,11.3,20.9,33.6,28.8,37.8,43.3
" "," "," "," "," ","Mean Sale Price (Euro)",196463,180573,141869,110912,137402,124817,151320,181052,240388
" "," "," "," "," ","Median Price (Euro)",179330,177088,135883,102000,132840,121060,148775,187275,239485
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",261,119,115,141,155,235,272,356,401
" "," "," "," "," ","Value of Sales (Euro Million)",73.9,30.2,25.5,26.3,31.4,62.2,92.0,137.3,155.4
" "," "," "," "," ","Mean Sale Price (Euro)",283283,253511,221973,186519,202444,264742,338165,385659,387432
" "," "," "," "," ","Median Price (Euro)",255375,238350,204000,193351,187500,257664,298185,384882,359999
" "," "," ","Existing"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",21356,22305,27758,30484,41224,48822,47916,50891,51748
" "," "," "," "," ","Value of Sales (Euro Million)",3963.2,3495.0,4152.0,5059.7,7686.0,9262.2,9819.8,11268.6,12022.5
" "," "," "," "," ","Mean Sale Price (Euro)",185578,156691,149580,165978,186445,189713,204938,221426,232328
" "," "," "," "," ","Median Price (Euro)",165000,125000,115000,120000,137500,143750,160000,175000,188000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",183,216,248,329,419,500,510,551,671
" "," "," "," "," ","Value of Sales (Euro Million)",23.4,18.9,19.4,29.0,36.2,50.6,61.3,66.2,91.1
" "," "," "," "," ","Mean Sale Price (Euro)",127682,87696,78175,88143,86358,101127,120211,120108,135799
" "," "," "," "," ","Median Price (Euro)",126757,71000,70000,70000,70000,100000,120000,120000,128000
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",218,260,363,383,701,775,752,841,754
" "," "," "," "," ","Value of Sales (Euro Million)",22.5,23.5,23.7,30.2,46.8,65.0,69.6,90.9,93.1
" "," "," "," "," ","Mean Sale Price (Euro)",103061,90217,65226,78750,66768,83933,92518,108033,123502
" "," "," "," "," ","Median Price (Euro)",77500,77000,50000,65000,46000,68000,80000,90000,110000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",618,607,676,718,1000,1359,1382,1256,1155
" "," "," "," "," ","Value of Sales (Euro Million)",71.3,62.4,64.9,67.7,96.6,133.2,178.8,162.8,196.1
" "," "," "," "," ","Mean Sale Price (Euro)",115377,102841,96050,94296,96565,98044,129411,129607,169771
" "," "," "," "," ","Median Price (Euro)",112500,82000,83000,79250,75950,80500,125500,120000,145000
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",2500,2681,3242,3343,4542,5430,5342,5766,5698
